latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
43.56,27.493,309.2,1.5,1.2,2019-10-18,1050,A,44,6.0NRT,298.4,6.7,D
43.556,27.475,316.2,1.5,1.2,2019-10-18,1050,A,71,6.0NRT,300.6,16.3,D
43.051,24.976,307.4,2.1,1.4,2019-10-18,1050,A,46,6.0NRT,295.2,13.6,D
43.051,24.971,306.5,2.1,1.4,2019-10-18,1050,A,32,6.0NRT,295.2,11.3,D
43.74,27.878,323.6,1.4,1.2,2019-10-18,1050,A,79,6.0NRT,300.1,27.4,D
43.455,24.184,340.4,2.3,1.5,2019-10-18,1050,A,91,6.0NRT,301,127.2,D
43.449,24.157,327,2.3,1.5,2019-10-18,1050,A,83,6.0NRT,300.1,62.1,D
43.96,26.446,310.1,1.7,1.3,2019-10-18,1050,A,60,6.0NRT,298.4,9.5,D
43.451,24.181,340.8,2.3,1.5,2019-10-18,1050,A,91,6.0NRT,301.1,130.2,D
43.445,24.154,318,2.3,1.5,2019-10-18,1050,A,75,6.0NRT,300.4,30.4,D
43.464,24.176,316.4,2.3,1.5,2019-10-18,1050,A,70,6.0NRT,298.9,26.8,D
43.798,25.529,319.7,1.9,1.3,2019-10-18,1050,A,74,6.0NRT,300.1,30.8,D
43.546,24.169,314.1,2.3,1.5,2019-10-18,1050,A,65,6.0NRT,299.6,18.4,D
43.922,25.817,308.9,1.8,1.3,2019-10-18,1050,A,47,6.0NRT,298,8.8,D
43.558,24.164,338.3,2.3,1.5,2019-10-18,1050,A,90,6.0NRT,302.1,111.7,D
43.552,24.136,327.8,2.3,1.5,2019-10-18,1050,A,84,6.0NRT,300.2,63.1,D
43.917,25.812,308.9,1.8,1.3,2019-10-18,1050,A,51,6.0NRT,298.6,9.2,D
43.555,24.158,346.8,2.3,1.5,2019-10-18,1050,A,94,6.0NRT,302.3,164.7,D
43.549,24.131,313.9,2.3,1.5,2019-10-18,1050,A,70,6.0NRT,300.1,18.3,D
44.031,26.114,322.5,1.8,1.3,2019-10-18,1050,A,78,6.0NRT,297.1,35.7,D
44.027,26.093,309.7,1.8,1.3,2019-10-18,1050,A,58,6.0NRT,297.5,11.4,D
44.712,26.961,316.5,1.5,1.2,2019-10-18,1050,A,72,6.0NRT,299.5,17.4,D
